ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก (Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
(9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
,,,,,5,อ.ใหม่ ว วิทย์,35,25-1-1 +1+1-1,24,"จ.1-2, พฤ.6",ม.4/1,"จ.1-2, พฤ.6",ม.4/1,Update11/10/66
15,ส30235,กฎหมายลิขสิทธิ์พื้นฐานในโลกยุคดิจิทัล,1,2,1,อ.ภาคภูมิ มโนมัยวงศ์,11,11-1-1-1,8,พฤ.7-8,ม.5/1,พฤ.7-8,ม.5/1,
16,ส31233,มนุษย์กับสันติภาพ,1,2,1,อ.อภิรดี ณ สงขลา,35,15+1+1+1,18,พ.1-2,ม.4/3,พ.1-2,ม.4/3,
17,ส31235,เรียนรู้เพื่ออยู่ร่วมกัน,0.5,1,1,อ.วิทวัส ศรีเทพ,35,13-1+1-1+1+1+1+1+1+1+1-1-1,17,พ.6,ม.4/1,พ.6,ม.4/1,Update11/10/66
18,ส31239,ประวัติศาสตร์ กับการรับรู้ความรู้สึก,1,2,1,อ.พลอยสิริ คำโสภา,35,35-1-1-1-1-1+1-1-1,29,"พ.6, พฤ.0",ม.4/3,"อ.6, พ.6",ม.4/3,
19,ส31240,กฎหมายที่ประชาชนควรทราบ,1,2,1,อ.สรายุทธ ไกรวัฒนพงศ์,35,35-1+1-1-1-1-1-1-1-1-1+1,28,พ.1-2,ม.3/4,พ.1-2,ม.3/4,
20,พ31211,ผู้นำค่ายพักแรม,1,2,1,อ.ชวลิต บุญประเสริฐ (เต็ม),31,25+1+1+1-1-1+1-1-1+1+1+1,28,พฤ.7-8,ห้องปฏิบัติการลูกเสือ-เนตรนารี,พฤ.7-8,ห้องปฏิบัติการลูกเสือ-เนตรนารี,
21,พ31231,แบดมินตันเพื่อการแข่งขัน,1,2,1,อ.วชิรวิทย์ ช้างแก้ว,30,23-1,22,จ.1-2,สนามบาสเกตบอลและวอลเลย์บอล,จ.1-2,สนามบาสเกตบอลและวอลเลย์บอล,
22,พ31234,การเป็นผู้ฝึกสอนฟุตซอล,1,2,1,อ.วชิรวิทย์ ช้างแก้ว,30,30+1+1-1+1+1-1-1-1-1+1+1,31,จ.6-7,สนามหลัง ม.6,อ.7-8,สนามหลัง ม.6,
23,พ31242,ซอฟท์บอลเพื่อการแข่งขัน 2,1,2,1,อ.ปรีชา สุริยะ,25,9+1,10,จ.1-2,สนามหน้าเสาธง,จ.1-2,สนามหน้าเสาธง,
24,พ31246,ท่องโลกสุขภาพ,1,2,1,อ.นวรัตน์ ธัญญศิริ,10,9+1-1+1+1-1,10,พ.3-4,ม.4/3,พ.3-4,ม.4/3,
25,พ31247,กรีฑาประเภทลาน,1,2,1,อ.ทรงพล เพ็ชรทอง,15,6-1-1+1-1,4,ศ.3-4,สนามหน้าเสาธง,ศ.3-4,สนามหน้าเสาธง,
26,พ31251,การเล่นฟุตบอลอาชีพ,1,2,1,อ.พชรพล พรมมา,30,21-1-1-1+1,19,พ.3-4,สนามหน้าเสาธง,พ.3-4,สนามหน้าเสาธง,
27,พ31252,การออกกำลังกายเพื่อสุขภาพ,1,2,1,อ.ฮานาฟีย์ ยี่สุ่นทรง,20,11 -1 +1-1+1+1,12,จ.3-4,สนามวอลเลย์บอล,จ.3-4,สนามวอลเลย์บอล,
28,พ30203,การจัดการค่ายพักแรม,0.5,1,1,อ.ชวลิต บุญประเสริฐ,25,0,0,อ.4,ห้องปฏิบัติการลูกเสือ-เนตรนารี,อ.4,ห้องปฏิบัติการลูกเสือ-เนตรนารี,รายวิชาเปิดใหม่
29,ศ30204,ปฏิบัติการวงโยธวาทิต ม.ปลาย 2,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,2+1,3,จ.1-2,ห้องปฏิบัติการดนตรีสากล(วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล(วงโย) 321,
30,ศ30210,ทักษะดนตรีไทย 2,1,2,1,อ.สโรชา อัศวผาติบุญ (เต็ม),10,7+1+1-1-1-1,6,พ.1-2,ห้องปฏิบัติการดนตรีไทย 215,พ.1-2,ห้องปฏิบัติการดนตรีไทย 215,
31,ศ30216,การถ่ายภาพเบื้องต้นแฟชั่นและบุคคล,1,2,1,อ.ดวงรัตน์ บุณยประสิทธิ์,8,8 -1 -1 -1+1+1+1+1,9,พฤ.7-8,ม.6/4,พฤ.7-8,ม.6/4,Update 19/10/66
