ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 6 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก(Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
 (4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
41,ศ30204,ปฏิบัติการวงโยธวาทิต ม.ปลาย 2,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,1-1,0,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,
42,ศ30216,การถ่ายภาพเบื้องต้นแฟชั่นและบุคคล,1,2,1,อ.ดวงรัตน์ บุณยประสิทธิ์,9,9+1+1+1+1+1+1+1+1+1-1,17,พฤ.7-8,ม.6/4,พฤ.7-8,ม.6/4,Update 19/10/2566
43,ศ30220,ความถนัดทางศิลปกรรมศาสตร์,1,2,1,อ.นลิน ปิ่นโรจน์,25,1-1,0,ศ.3-4,ห้องปฏิบัติการศิลปะ318,ศ.3-4,ห้องปฏิบัติการศิลปะ318,Update 19/10/2566
44,ศ30225,ปฏิบัติการวงโยธวาทิต ม.ปลาย 4,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,0,0,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,
45,ศ30227,ปฏิบัติการวงโยธวาทิต ม.ปลาย 6,1,2,1,อ.สุปัฏฐ์ แก้วกุลวณิชย์,15,2+1+1,4,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,จ.1-2,ห้องปฏิบัติการดนตรีสากล (วงโย) 321,
46,ศ30228,ทักษะศิลปะตามถนัด2,1,2,1,อ.สกุล บางศรี,5,1,1,พฤ.7-8,ห้องปฏิบัติการศิลปะ 320,พฤ.7-8,ห้องปฏิบัติการศิลปะ 320,
,,,,,2,ผศ.พัชริน สงวนผลไพโรจน์,5,2,2,พฤ.7-8,ห้องปฏิบัติการศิลปะ 106,พฤ.7-8,ห้องปฏิบัติการศิลปะ 106,
,,,,,3,อ.ดร.อติญา วงษ์วาท,5,1,1,พฤ.7-8,ห้องปฏิบัติการศิลปะ 318,พฤ.7-8,ห้องปฏิบัติการศิลปะ 318,
47,ศ30233,ศิลปะไทยสร้างสรรค์,1,2,1,อ.อัฐพล หมั่นกุดเวียน,9,1+1,2,พฤ.7-8,ห้องปฏิบัติการศิลปะ 319,พฤ.7-8,ห้องปฏิบัติการศิลปะ 319,
48,ศ30234,จิตรกรรมสีน้ำมัน,1,2,1,อ.อัฐพล หมั่นกุดเวียน,5,5-1-1,3,จ.1-2,ห้องปฏิบัติการศิลปะ 319,จ.1-2,ห้องปฏิบัติการศิลปะ 319,
49,ศ30235,การปฏิบัติกลองไทยสร้างสรรค์,1,2,1,อ.ภูวิศ แถวเพีย (เต็ม),10,6+1+1+1,9,พฤ.7-8,ห้องปฏิบัติการดนตรีไทย 215,พฤ.7-8,ห้องปฏิบัติการดนตรีไทย 215,
50,ศ33237,ความถนัดสถาปัตยกรรมศาสตร์ Ultimate,1,2,1,อ.อาทิตยา ผดุงมาตรวรกุล,20,7,7,พ.3-4,ห้องปฏิบัติการศิลปะ 106,พ.3-4,ห้องปฏิบัติการศิลปะ 106,Update 19/10/2566
51,ง30278,เครื่องประดับทำมือ,1,2,1,อ.ศยามล นามสุบิน,25,12-1+1-1+1-1-1+1-1,10,จ.1-2,ห้องปฏิบัติการงานผ้า,จ.1-2,ห้องปฏิบัติการงานผ้า,
,,,,,2,อ.ศยามล นามสุบิน,25,6+1-1-1+1+1,7,พ.1-2,ห้องปฏิบัติการงานผ้า,พ.1-2,ห้องปฏิบัติการงานผ้า,
52,ง30280,ทำใช้ได้ ทำขายรวย,1,2,1,อ.ศยามล นามสุบิน,20,9-1-1-1-1+1-1,5,พฤ.7-8,ห้องปฏิบัติการงานผ้า,พฤ.7-8,ห้องปฏิบัติการงานผ้า,
,,,,,2,อ.ศยามล นามสุบิน,20,15+1-1-1,14,ศ.3-4,ห้องปฏิบัติการงานผ้า,ศ.3-4,ห้องปฏิบัติการงานผ้า,
53,ง30291,ขนมไทยอะไรเอ่ย,1,2,1,อ.ศิรดา ทองเชื้อ (เต็ม),21,20+1-1-1+1-1+1,21,พ.3-4,ห้องเรียนและห้องปฏิบัติการอาหาร 2/ม.6/3,พ.3-4,ห้องเรียนและห้องปฏิบัติการอาหาร 2/ม.6/3,
54,ง30292,ธุรกิจกับภูมิปัญญา,1,2,1,อ.อุษาสุดา ภูษณสุวรรณศรี,20,8 -1-1-1-1,4,พฤ.7-8,ม.6/6,พฤ.7-8,ม.6/6,
55,ง33263,ประดิษฐ์ง่ายๆด้วยตนเอง,1,2,1,อ.รัชดาวัลย์ ปลั่งเกียรติยศ (เต็ม),24,20+1+1+1+1,24,จ.1-2,ห้องปฏิบัติการงานผ้า,จ.1-2,ห้องปฏิบัติการงานผ้า,
,,,,,2,อ.รัชดาวัลย์ ปลั่งเกียรติยศ,20,7+1+1,9,ศ.1-2,ห้องปฏิบัติการงานผ้า,ศ.1-2,ห้องปฏิบัติการงานผ้า,
56,ง33278,งานช่างสร้างอาชีพ,1,2,1,อ.วนาลี หนูสม,20,20+1+1+1,23,พ.8-9,"ห้องปฏิบัติการอิเล็กทรอนิกส์ ห้องงานไม้ 
ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB",อ.3-4,"ห้องปฏิบัติการอิเล็กทรอนิกส์ ห้องงานไม้ 
ห้องปฏิบัติการคอมพิวเตอร์ และ STEM LAB",
